freq,psd_x,psd_y,psd_z,psd_xyz
171.4,2.338e+03,1.098e+04,2.282e+04,3.614e+04
173.0,2.147e+03,9.971e+03,2.209e+04,3.421e+04
174.6,2.043e+03,9.415e+03,2.116e+04,3.262e+04
176.2,2.668e+03,9.083e+03,2.041e+04,3.216e+04
177.8,3.357e+03,8.096e+03,2.069e+04,3.215e+04
179.4,2.152e+03,7.208e+03,2.209e+04,3.145e+04
181.0,1.750e+03,6.837e+03,2.222e+04,3.080e+04
182.6,1.885e+03,6.794e+03,2.273e+04,3.141e+04
184.1,2.206e+03,6.339e+03,2.271e+04,3.126e+04
185.7,2.969e+03,6.317e+03,2.459e+04,3.387e+04
187.3,3.824e+03,6.673e+03,2.783e+04,3.832e+04
188.9,4.562e+03,6.673e+03,2.755e+04,3.879e+04
190.5,5.641e+03,7.512e+03,2.868e+04,4.183e+04
192.1,6.397e+03,9.165e+03,3.038e+04,4.595e+04
193.7,6.405e+03,1.076e+04,3.108e+04,4.824e+04
195.3,5.909e+03,1.152e+04,3.088e+04,4.831e+04
196.8,6.188e+03,1.281e+04,3.151e+04,5.051e+04
198.4,5.719e+03,1.467e+04,3.333e+04,5.372e+04
