freq,psd_x,psd_y,psd_z,psd_xyz
154.4,9.478e+02,7.976e+02,1.623e+03,3.368e+03
156.0,1.191e+02,1.877e+02,1.098e+03,1.405e+03
157.6,1.155e+02,1.700e+02,1.089e+03,1.374e+03
159.2,1.397e+02,2.024e+02,1.087e+03,1.429e+03
160.8,1.864e+02,2.541e+02,9.266e+02,1.367e+03
162.3,2.171e+02,2.411e+02,6.189e+02,1.077e+03
163.9,2.096e+02,1.801e+02,3.804e+02,7.700e+02
165.5,1.929e+02,1.478e+02,3.777e+02,7.183e+02
167.1,2.212e+02,1.497e+02,3.606e+02,7.315e+02
168.7,3.468e+02,1.563e+02,3.059e+02,8.090e+02
170.3,5.127e+02,1.584e+02,2.555e+02,9.266e+02
171.9,7.895e+02,1.576e+02,2.618e+02,1.209e+03
173.5,1.141e+03,1.604e+02,3.010e+02,1.602e+03
175.1,1.557e+03,1.660e+02,3.512e+02,2.074e+03
176.7,2.200e+03,1.734e+02,4.701e+02,2.844e+03
178.3,2.868e+03,1.749e+02,6.116e+02,3.655e+03
179.9,3.697e+03,1.716e+02,6.952e+02,4.564e+03
181.4,4.628e+03,1.634e+02,7.875e+02,5.579e+03
183.0,5.685e+03,1.633e+02,9.174e+02,6.766e+03
184.6,6.638e+03,1.792e+02,1.050e+03,7.867e+03
186.2,7.287e+03,1.949e+02,1.238e+03,8.720e+03
187.8,7.398e+03,2.062e+02,1.474e+03,9.078e+03
189.4,6.586e+03,2.341e+02,1.625e+03,8.444e+03
191.0,5.529e+03,2.557e+02,1.704e+03,7.489e+03
192.6,4.276e+03,2.644e+02,1.791e+03,6.331e+03
194.2,2.904e+03,2.465e+02,1.683e+03,4.833e+03
195.8,2.236e+03,2.633e+02,1.523e+03,4.023e+03
197.4,1.575e+03,2.495e+02,1.217e+03,3.041e+03
199.0,1.125e+03,1.899e+02,8.692e+02,2.184e+03
