freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.663e+01,3.340e+02,1.406e+02,5.212e+02
1.6,4.409e+01,2.013e+02,1.183e+02,3.637e+02
3.2,1.981e+01,3.832e+01,5.478e+01,1.129e+02
4.8,1.966e+01,4.542e+02,5.044e+01,5.243e+02
6.4,1.890e+01,1.437e+03,4.877e+01,1.505e+03
7.9,2.006e+01,2.351e+03,4.854e+01,2.419e+03
9.5,1.924e+01,3.510e+03,5.465e+01,3.584e+03
11.1,1.970e+01,4.833e+03,6.157e+01,4.914e+03
12.7,2.022e+01,6.537e+03,5.914e+01,6.617e+03
14.3,1.887e+01,8.660e+03,7.270e+01,8.751e+03
15.9,2.072e+01,1.128e+04,1.036e+02,1.140e+04
17.5,2.643e+01,1.477e+04,1.490e+02,1.495e+04
19.1,4.084e+01,1.969e+04,2.390e+02,1.997e+04
20.6,6.839e+01,2.658e+04,4.657e+02,2.711e+04
22.2,7.959e+01,3.634e+04,1.014e+03,3.743e+04
23.8,8.563e+01,5.180e+04,1.894e+03,5.378e+04
25.4,3.533e+02,6.933e+04,3.148e+03,7.284e+04
27.0,1.088e+03,7.901e+04,4.336e+03,8.443e+04
28.6,1.868e+03,7.840e+04,5.334e+03,8.560e+04
30.2,2.525e+03,8.610e+04,7.617e+03,9.624e+04
31.8,4.088e+03,1.065e+05,1.133e+04,1.219e+05
33.3,7.706e+03,1.477e+05,1.609e+04,1.715e+05
34.9,1.414e+04,2.531e+05,2.981e+04,2.970e+05
36.5,2.488e+04,5.698e+05,7.792e+04,6.726e+05
38.1,3.755e+04,1.061e+06,1.793e+05,1.278e+06
39.7,4.407e+04,1.024e+06,2.324e+05,1.300e+06
41.3,5.199e+04,5.417e+05,1.681e+05,7.617e+05
42.9,5.815e+04,2.305e+05,1.211e+05,4.097e+05
44.5,6.629e+04,1.052e+05,1.225e+05,2.940e+05
46.1,7.076e+04,5.948e+04,1.264e+05,2.566e+05
47.6,7.009e+04,3.144e+04,1.279e+05,2.294e+05
49.2,6.918e+04,1.886e+04,1.020e+05,1.900e+05
50.8,4.028e+04,3.514e+04,5.377e+04,1.292e+05
52.4,2.351e+04,6.214e+04,5.365e+04,1.393e+05
54.0,1.428e+04,7.777e+04,5.046e+04,1.425e+05
55.6,9.583e+03,7.847e+04,4.087e+04,1.289e+05
57.2,8.498e+03,6.965e+04,2.879e+04,1.069e+05
58.8,1.028e+04,5.772e+04,1.684e+04,8.485e+04
60.3,1.336e+04,4.309e+04,7.642e+03,6.409e+04
61.9,1.695e+04,3.168e+04,1.387e+04,6.250e+04
63.5,2.228e+04,2.315e+04,3.886e+04,8.430e+04
65.1,3.547e+04,2.446e+04,1.152e+05,1.751e+05
66.7,5.155e+04,4.142e+04,2.301e+05,3.230e+05
68.3,6.184e+04,8.161e+04,3.663e+05,5.098e+05
69.9,5.976e+04,1.498e+05,5.053e+05,7.148e+05
71.5,4.317e+04,1.747e+05,4.762e+05,6.941e+05
73.0,3.426e+04,1.702e+05,4.331e+05,6.376e+05
74.6,2.552e+04,1.460e+05,3.339e+05,5.055e+05
76.2,1.398e+04,1.148e+05,2.033e+05,3.320e+05
77.8,7.709e+03,9.289e+04,1.204e+05,2.210e+05
79.4,4.657e+03,7.647e+04,7.985e+04,1.610e+05
81.0,3.890e+03,6.477e+04,6.180e+04,1.305e+05
82.6,5.437e+03,5.530e+04,5.109e+04,1.118e+05
84.2,6.537e+03,4.797e+04,4.264e+04,9.715e+04
85.8,6.140e+03,4.156e+04,3.520e+04,8.290e+04
87.3,5.841e+03,3.606e+04,2.970e+04,7.160e+04
88.9,7.133e+03,3.221e+04,2.662e+04,6.596e+04
90.5,1.109e+04,2.923e+04,2.551e+04,6.584e+04
92.1,1.771e+04,2.708e+04,2.642e+04,7.120e+04
93.7,2.484e+04,2.617e+04,2.633e+04,7.735e+04
95.3,3.129e+04,2.578e+04,2.350e+04,8.057e+04
96.9,3.170e+04,2.476e+04,2.092e+04,7.738e+04
98.5,2.370e+04,2.264e+04,1.897e+04,6.530e+04
100.0,9.188e+03,2.038e+04,1.644e+04,4.602e+04
101.6,5.245e+03,1.873e+04,1.525e+04,3.922e+04
103.2,4.184e+03,1.717e+04,1.339e+04,3.474e+04
104.8,3.748e+03,1.569e+04,1.085e+04,3.029e+04
106.4,3.616e+03,1.429e+04,8.555e+03,2.646e+04
108.0,4.080e+03,1.316e+04,7.227e+03,2.447e+04
109.6,4.560e+03,1.208e+04,6.291e+03,2.293e+04
111.2,5.302e+03,1.106e+04,5.785e+03,2.215e+04
112.7,6.869e+03,1.028e+04,5.991e+03,2.314e+04
114.3,8.212e+03,9.534e+03,5.337e+03,2.308e+04
115.9,9.077e+03,8.612e+03,4.869e+03,2.256e+04
117.5,9.146e+03,7.243e+03,5.082e+03,2.147e+04
119.1,8.049e+03,6.055e+03,5.111e+03,1.921e+04
120.7,7.284e+03,5.132e+03,5.013e+03,1.743e+04
122.3,6.188e+03,4.389e+03,4.262e+03,1.484e+04
123.9,4.485e+03,4.139e+03,3.841e+03,1.246e+04
125.5,3.664e+03,4.059e+03,3.922e+03,1.165e+04
127.0,3.337e+03,3.941e+03,3.982e+03,1.126e+04
